title,imdb_score,Director
John Mulaney: New in Town,8.2,Ryan Polito
Bert Kreischer: The Machine,7.6,Ryan Polito
Jim Jefferies: Freedumb,7.7,Ryan Polito
Iliza Shlesinger: Freezing Hot,6.8,Ryan Polito
Seth Rogen's Hilarity for Charity,5.0,Ryan Polito
Tracy Morgan: Staying Alive,6.3,Ryan Polito
Nate Bargatze: The Tennessee Kid,7.6,Ryan Polito
Deon Cole: Cole Hearted,6.9,Ryan Polito
Bill Burr Presents: Friends Who Kill,4.5,Ryan Polito
Amy Schumer Presents: Parental Advisory,3.8,Ryan Polito
David Spade: Nothing Personal,5.8,Ryan Polito
Jane Fonda & Lily Tomlin: Ladies Night Live,5.5,Ryan Polito
Jeff Foxworthy: The Good Old Days,6.1,Ryan Polito
Christina P: Mom Genes,5.8,Ryan Polito
Jim Gaffigan: Mr. Universe,7.7,Jay Karas
Bill Burr: I'm Sorry You Feel That Way,8.3,Jay Karas
Ali Wong: Baby Cobra,7.5,Jay Karas
Demetri Martin: Live (At The Time),7.4,Jay Karas
Anjelah Johnson: Not Fancy,5.7,Jay Karas
Tom Segura: Mostly Stories,7.5,Jay Karas
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,5.9,Jay Karas
Demetri Martin: The Overthinker,7.2,Jay Karas
Bill Burr: Walk Your Way Out,7.2,Jay Karas
Ali Wong: Hard Knock Wife,7.3,Jay Karas
Tom Segura: Disgraceful,7.5,Jay Karas
Christina P: Mother Inferior,6.4,Jay Karas
Adam Devine: Best Time of Our Lives,5.9,Jay Karas
Moshe Kasher: Live in Oakland,6.7,Jay Chapman
Tom Segura: Completely Normal,7.7,Jay Chapman
Jim Gaffigan: Obsessed,7.6,Jay Chapman
D.L. Hughley: Clear,6.8,Jay Chapman
Todd Glass Talks About Stuff,6.2,Jay Chapman
Colin Quinn: Unconstitutional,7.1,Jay Chapman
Craig Ferguson: Tickle Fight,6.6,Jay Chapman
Lucas Brothers: On Drugs,5.7,Jay Chapman
Brad Paisley's Comedy Rodeo,5.7,Jay Chapman
Todd Barry: Spicy Honey,6.8,Jay Chapman
D.L. Hughley: Contrarian,6.5,Jay Chapman
Mo Amer: Mohammed in Texas,6.5,Jay Chapman
"Dana Carvey: Straight White Male, 60",6.5,Marcus Raboy
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,Marcus Raboy
Cristela Alonzo: Lower Classy,6.4,Marcus Raboy
Ryan Hamilton: Happy Face,7.3,Marcus Raboy
Judd Apatow: The Return,6.2,Marcus Raboy
DeRay Davis: How to Act Black,6.1,Marcus Raboy
Marlon Wayans: Woke-ish,6.5,Marcus Raboy
Lynne Koplitz: Hormonal Beast,6.3,Marcus Raboy
Vir Das: Abroad Understanding,6.9,Marcus Raboy
Vir Das: Losing It,7.0,Marcus Raboy
Anthony Jeselnik: Fire in the Maternity Ward,7.2,Marcus Raboy
Taylor Tomlinson: Quarter-Life Crisis,7.4,Marcus Raboy
Whitney Cummings: Can I Touch It?,6.5,Marcus Raboy
Miranda Sings Live... Your Welcome,5.4,Marcus Raboy
Ricardo O'Farrill: Abrazo Genial,5.5,Raúl Campos
Sofía Niño de Rivera: Exposed,7.3,Raúl Campos
Ricardo O'Farrill: abrazo navideño,5.7,Raúl Campos
Carlos Ballarta: el amor es de putos,7.0,Raúl Campos
Sofía Niño de Rivera: Natural Selection,6.9,Raúl Campos
Malena Pichot: Estupidez compleja,5.7,Raúl Campos
"El Especial de Alex Fernández, el Especial",6.7,Raúl Campos
Todo lo que sería Lucas Lauriente,6.7,Raúl Campos
Coco y Raulito: Carrusel de ternura,6.6,Raúl Campos
Alejandro Riaño: Especial de stand up,4.9,Raúl Campos
Daniel Sosa: Sosafado,5.4,Raúl Campos
Natalia Valdebenito: El especial,5.0,Raúl Campos
Mau Nieto: viviendo sobrio… desde el bar,6.7,Raúl Campos
Alexis de Anda: Mea Culpa,4.9,Raúl Campos
Carlos Ballarta: furia ñera,7.2,Raúl Campos
Jani Dueñas: Grandes fracasos de ayer y hoy,4.8,Raúl Campos
Fernando Sanjiao: Hombre,6.3,Raúl Campos
Simplemente Manu NNa,5.4,Raúl Campos
Sebastián Marcelo Wainraich,6.4,Raúl Campos
Carlos Ballarta: False Prophet,6.7,Raúl Campos
Ricardo O'Farrill: Abrazo Genial,5.5,Jan Suter
Sofía Niño de Rivera: Exposed,7.3,Jan Suter
Ricardo O'Farrill: abrazo navideño,5.7,Jan Suter
Carlos Ballarta: el amor es de putos,7.0,Jan Suter
Sofía Niño de Rivera: Natural Selection,6.9,Jan Suter
Malena Pichot: Estupidez compleja,5.7,Jan Suter
"El Especial de Alex Fernández, el Especial",6.7,Jan Suter
Todo lo que sería Lucas Lauriente,6.7,Jan Suter
Coco y Raulito: Carrusel de ternura,6.6,Jan Suter
Alejandro Riaño: Especial de stand up,4.9,Jan Suter
Daniel Sosa: Sosafado,5.4,Jan Suter
Natalia Valdebenito: El especial,5.0,Jan Suter
Mau Nieto: viviendo sobrio… desde el bar,6.7,Jan Suter
Alexis de Anda: Mea Culpa,4.9,Jan Suter
Carlos Ballarta: furia ñera,7.2,Jan Suter
Jani Dueñas: Grandes fracasos de ayer y hoy,4.8,Jan Suter
Fernando Sanjiao: Hombre,6.3,Jan Suter
Simplemente Manu NNa,5.4,Jan Suter
Sebastián Marcelo Wainraich,6.4,Jan Suter
Life of Brian,8.0,All Comedies
Richard Pryor: Live in Concert,8.1,All Comedies
When Harry Met Sally...,7.7,All Comedies
Steel Magnolias,7.3,All Comedies
National Lampoon's Christmas Vacation,7.5,All Comedies
Eddie Murphy Raw,7.6,All Comedies
Sam Kinison: Breaking the Rules,7.2,All Comedies
Waiting for the Hearse,8.0,All Comedies
Tim Allen: Men Are Pigs,6.1,All Comedies
Monty Python Live at the Hollywood Bowl,7.9,All Comedies
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,All Comedies
Bill Hicks: Sane Man,,All Comedies
Dumb and Dumber,7.3,All Comedies
You've Got Mail,6.7,All Comedies
Vegas Vacation,5.9,All Comedies
The Replacements,6.6,All Comedies
3 Ninjas Kick Back,4.5,All Comedies
The Players Club,5.9,All Comedies
Jerry Seinfeld: I'm Telling You for the Last Time,7.9,All Comedies
Herod's Law,7.8,All Comedies
Sam Kinison: Live in Vegas,6.6,All Comedies
Bill Hicks: Revelations,8.5,All Comedies
Sam Kinison: Family Entertainment Hour,,All Comedies
Sinbad: Son of a Preacher Man,6.8,All Comedies
Muthu,7.6,All Comedies
Jeans,6.4,All Comedies
Monty Python: Live at Aspen,7.8,All Comedies
Minsara Kanavu,6.7,All Comedies
Duplicate,5.5,All Comedies
Phir Bhi Dil Hai Hindustani,6.1,All Comedies
Bill Hicks: Relentless,,All Comedies
Tim Allen: Rewires America,6.0,All Comedies
Bill Hicks: One Night Stand,,All Comedies
Sinbad: Nothin' but the Funk,6.3,All Comedies
Sinbad: Afros and Bellbottoms,7.8,All Comedies
Before the Flying Circus,7.3,All Comedies
Hello Brother,4.6,All Comedies
Mean Girls,7.1,All Comedies
Old School,7.0,All Comedies
Anchorman: The Legend of Ron Burgundy,7.1,All Comedies
Get Smart,6.5,All Comedies
Grown Ups,5.9,All Comedies
The Girl Next Door,6.7,All Comedies
Not Another Teen Movie,5.7,All Comedies
Harold & Kumar Go to White Castle,7.0,All Comedies
Jackass: The Movie,6.6,All Comedies
Semi-Pro,5.8,All Comedies
Scary Movie 4,5.1,All Comedies
The Sweetest Thing,5.1,All Comedies
How Do You Know,5.4,All Comedies
Due Date,6.5,All Comedies
The Men Who Stare at Goats,6.2,All Comedies
Good Luck Chuck,5.6,All Comedies
Starsky & Hutch,6.1,All Comedies
New York Minute,4.9,All Comedies
Comedian,6.9,All Comedies
Friends with Money,5.8,All Comedies
Life As We Know It,6.5,All Comedies
Death at a Funeral,5.7,All Comedies
Louis C.K.: Hilarious,8.4,All Comedies
Did You Hear About the Morgans?,4.9,All Comedies
Christmas with the Kranks,5.4,All Comedies
Open Season 2,,All Comedies
Trailer Park Boys: The Movie,7.1,All Comedies
Katt Williams: The Pimp Chronicles Pt. 1,7.6,All Comedies
Trailer Park Boys: Countdown to Liquor Day,7.3,All Comedies
Zach Galifianakis: Live at the Purple Onion,7.2,All Comedies
First Sunday,4.5,All Comedies
Bon Cop Bad Cop,6.5,All Comedies
Whitney Cummings: Money Shot,6.2,All Comedies
Jim Gaffigan: King Baby,7.7,All Comedies
Mike Birbiglia: What I Should Have Said Was Nothing,7.6,All Comedies
Anbe Sivam,8.7,All Comedies
Delta Farce,3.6,All Comedies
Phir Hera Pheri,7.1,All Comedies
Da Kath & Kim Code,7.3,All Comedies
Kevin Hart: I'm a Grown Little Man,7.5,All Comedies
Chup Chup Ke,6.9,All Comedies
Whisky,7.1,All Comedies
Ajab Prem Ki Ghazab Kahani,6.3,All Comedies
Jeff Dunham: Arguing with Myself,8.0,All Comedies
Naruto: Ninja Clash in the Land of Snow,6.6,All Comedies
Wake Up Sid,7.6,All Comedies
Awara Paagal Deewana,6.2,All Comedies
I Hate Luv Storys,5.6,All Comedies
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,6.9,All Comedies
Break Ke Baad,5.1,All Comedies
Trailer Park Boys: Say Goodnight to the Bad Guys,7.8,All Comedies
Honeymoon Travels Pvt. Ltd.,6.1,All Comedies
Dev.D,7.9,All Comedies
Romantik Komedi,5.3,All Comedies
Golmaal Returns,5.1,All Comedies
Oye Lucky! Lucky Oye!,7.7,All Comedies
What's Your Raashee?,4.8,All Comedies
Kyaa Kool Hai Hum,6.1,All Comedies
Jim Gaffigan: Beyond the Pale,7.8,All Comedies
Kevin James: Sweat the Small Stuff,7.4,All Comedies
Mukhsin,7.3,All Comedies
The Trailer Park Boys Xmas Special,8.0,All Comedies
C Kkompany,5.5,All Comedies
Osuofia in London,,All Comedies
Tim Minchin: So F**king Rock Live,,All Comedies
Vizontele,8.0,All Comedies
Welcome to Sajjanpur,6.9,All Comedies
Laugh Out Loud,7.0,All Comedies
Harishchandrachi Factory,8.4,All Comedies
Gina Yashere: Skinny B*tch,6.5,All Comedies
EMI,4.4,All Comedies
My Amnesia Girl,6.7,All Comedies
Jeff Dunham's Very Special Christmas Special,7.4,All Comedies
Kyo Kii... Main Jhuth Nahin Bolta,5.3,All Comedies
Well Done Abba,7.2,All Comedies
Once a Gangster,5.7,All Comedies
Perazhagan,6.4,All Comedies
Aagey Se Right,5.2,All Comedies
Look for a Star,5.6,All Comedies
Dhoondte Reh Jaaoge,5.6,All Comedies
A Very Special Love,6.5,All Comedies
Project X,6.6,All Comedies
Dark Shadows,6.2,All Comedies
Jackass 3.5,,All Comedies
John Mulaney: New in Town,8.2,All Comedies
A Very Harold & Kumar Christmas,6.2,All Comedies
Sebastian Maniscalco: What's Wrong with People?,8.0,All Comedies
What About Dick?,,All Comedies
Donald Glover: Weirdo,7.4,All Comedies
Delhi Belly,7.5,All Comedies
Maria Bamford: The Special Special Special!,7.0,All Comedies
Jim Gaffigan: Mr. Universe,7.7,All Comedies
Big Time Movie,6.1,All Comedies
FRED 3: Camp Fred,2.0,All Comedies
Chillar Party,7.5,All Comedies
Kath & Kimderella,5.3,All Comedies
Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,,All Comedies
Material,7.1,All Comedies
Jeff Dunham: Controlled Chaos,7.4,All Comedies
Lavell Crawford: Can a Brother Get Some Love?,6.9,All Comedies
Jeff Dunham: Minding the Monsters,7.0,All Comedies
Kalakalappu,6.9,All Comedies
Luv Shuv Tey Chicken Khurana,6.6,All Comedies
Husbands in Goa,3.8,All Comedies
Moshe Kasher: Live in Oakland,6.7,All Comedies
Tom Papa: Live in New York City,7.2,All Comedies
My Friend Pinto,5.3,All Comedies
Sisterakas,5.0,All Comedies
Phone Swap,6.2,All Comedies
Paddington,7.2,All Comedies
St. Vincent,7.2,All Comedies
Scary Movie 5,3.5,All Comedies
Walk of Shame,6.0,All Comedies
The Smurfs 2,5.3,All Comedies
Bill Burr: I'm Sorry You Feel That Way,8.3,All Comedies
Thanks for Sharing,6.4,All Comedies
Queen,8.1,All Comedies
Jackass Presents: Bad Grandpa .5,6.3,All Comedies
Mike Birbiglia: My Girlfriend's Boyfriend,8.0,All Comedies
The Nut Job,5.7,All Comedies
Tom Segura: Completely Normal,7.7,All Comedies
Search Party,5.6,All Comedies
Jinxed,6.3,All Comedies
Ralphie May: Imperfectly Yours,5.4,All Comedies
Hasee Toh Phasee,6.8,All Comedies
Jim Jefferies: Bare,8.0,All Comedies
Boss,5.1,All Comedies
Khoobsurat,6.4,All Comedies
Selfie,6.0,All Comedies
Chashme Baddoor,5.4,All Comedies
Jim Gaffigan: Obsessed,7.6,All Comedies
Jeff Dunham: All Over the Map,7.1,All Comedies
Aziz Ansari: Buried Alive,7.2,All Comedies
Trailer Park Boys - Live in F**kin' Dublin,6.2,All Comedies
Marc Maron: Thinky Pain,7.3,All Comedies
SDU: Sex Duties Unit,5.9,All Comedies
Wedding Association,7.0,All Comedies
Chelsea Handler: Uganda Be Kidding Me Live,5.8,All Comedies
Swearnet: The Movie,6.0,All Comedies
The Midas Touch,5.0,All Comedies
Gori Tere Pyaar Mein,4.9,All Comedies
Trailer Park Boys: Live at the North Pole,6.7,All Comedies
One by Two,3.9,All Comedies
Romantik Komedi 2: Bekarlığa Veda,5.1,All Comedies
Gollu Aur Pappu,3.8,All Comedies
Must Be... Love,6.4,All Comedies
Swearnet Live,5.3,All Comedies
Himmatwala,1.7,All Comedies
Theeya Velai Seiyyanum Kumaru,5.3,All Comedies
D.L. Hughley: Clear,6.8,All Comedies
Flower Girl,6.0,All Comedies
Starting Over Again,8.3,All Comedies
Motu Patlu: Deep Sea Adventure,,All Comedies
Settai,4.5,All Comedies
Grandmother's Farm,2.9,All Comedies
Wyatt Cenac: Brooklyn,6.3,All Comedies
Todd Glass Talks About Stuff,,All Comedies
Mumbai Delhi Mumbai,5.7,All Comedies
"Hail, Caesar!",6.3,All Comedies
The DUFF,6.4,All Comedies
The Fundamentals of Caring,7.3,All Comedies
Mascots,5.8,All Comedies
Bo Burnham: Make Happy,8.4,All Comedies
Mindhorn,6.3,All Comedies
You're My Boss,6.3,All Comedies
David Brent: Life on the Road,6.3,All Comedies
Tramps,6.5,All Comedies
Special Correspondents,5.8,All Comedies
Bert Kreischer: The Machine,7.6,All Comedies
Results,5.4,All Comedies
Sebastian Maniscalco: Why Would You Do That?,7.4,All Comedies
John Mulaney: The Comeback Kid,7.9,All Comedies
Kung Fu Panda: Secrets of the Scroll,,All Comedies
Anthony Jeselnik: Thoughts and Prayers,,All Comedies
Taxi Driver,6.0,All Comedies
Ali Wong: Baby Cobra,7.5,All Comedies
A Very Murray Christmas,5.5,All Comedies
Always Be My Maybe,6.6,All Comedies
Colin Quinn: The New York Story,6.9,All Comedies
Kevin Hart: What Now?,5.9,All Comedies
Veteran,7.0,All Comedies
Opening Night,6.0,All Comedies
Shaun the Sheep: The Farmer's Llamas,6.8,All Comedies
Un + une,6.2,All Comedies
Servant Of The People 2,6.2,All Comedies
Kathleen Madigan: Bothering Jesus,,All Comedies
Heneral Luna,7.3,All Comedies
Ordinary World,5.5,All Comedies
Demetri Martin: Live (At The Time),7.4,All Comedies
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.4,All Comedies
Ralphie May: Unruly,,All Comedies
Manson Family Vacation,5.8,All Comedies
Jimmy Carr: Funny Business,7.2,All Comedies
Aziz Ansari: Live at Madison Square Garden,6.6,All Comedies
Chris Tucker: Live,6.3,All Comedies
"Dana Carvey: Straight White Male, 60",6.5,All Comedies
Russell Peters: Almost Famous,6.6,All Comedies
Colin Quinn: Unconstitutional,7.1,All Comedies
Jim Jefferies: Freedumb,7.7,All Comedies
Breaking the Bank,4.8,All Comedies
Chronically Metropolitan,4.9,All Comedies
Hannibal Buress: Comedy Camisado,6.6,All Comedies
Anjelah Johnson: Not Fancy,5.7,All Comedies
Triumph in the Skies,4.3,All Comedies
Tom Segura: Mostly Stories,7.5,All Comedies
Garfunkel and Oates: Trying to be Special,7.3,All Comedies
Slam,6.1,All Comedies
Shaandaar,3.6,All Comedies
Schubert in Love,5.0,All Comedies
Frank and Cindy,6.1,All Comedies
Dharam Sankat Mein,6.3,All Comedies
Puerto Ricans in Paris,5.3,All Comedies
Love O2O,6.4,All Comedies
"Liar, Liar, Vampire",5.7,All Comedies
Patton Oswalt: Talking for Clapping,6.7,All Comedies
Selfie 69,6.1,All Comedies
Ricardo O'Farrill: Abrazo Genial,5.5,All Comedies
Iliza Shlesinger: Confirmed Kills,6.6,All Comedies
Umrika,6.6,All Comedies
Michael Che Matters,7.2,All Comedies
Brent Morin: I'm Brent Morin,6.5,All Comedies
Joe Rogan: Triggered,7.4,All Comedies
Kyaa Kool Hain Hum 3,1.9,All Comedies
David Cross: Making America Great Again,6.5,All Comedies
Jeff Dunham: Unhinged in Hollywood,6.7,All Comedies
Sofía Niño de Rivera: Exposed,7.3,All Comedies
I Love You,4.7,All Comedies
Iliza Shlesinger: Freezing Hot,6.8,All Comedies
Katti Batti,4.6,All Comedies
Mike Epps: Don't Take It Personal,4.4,All Comedies
Bangistan,4.5,All Comedies
Theo Von: No Offense,5.6,All Comedies
Ricardo O'Farrill: abrazo navideño,5.7,All Comedies
"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",6.5,All Comedies
The Massively Mixed-Up Middle School Mystery,7.3,All Comedies
Poshter Girl,6.6,All Comedies
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,5.9,All Comedies
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),6.8,All Comedies
Reggie Watts: Spatial,6.0,All Comedies
Meet The in-Laws,6.0,All Comedies
Brother Jekwu,,All Comedies
Hans Teeuwen: Echte Rancune,,All Comedies
Chris D'Elia: Incorrigible,6.4,All Comedies
Kara Bela,6.7,All Comedies
Carlos Ballarta: el amor es de putos,7.0,All Comedies
Sen Benim HerŞeyimsin,6.2,All Comedies
A Chaster Marriage,5.4,All Comedies
Cedric the Entertainer: Live from the Ville,6.2,All Comedies
Wedding Association 2: Circumcision,6.3,All Comedies
Brahman Naman,5.5,All Comedies
Santa Banta Pvt Ltd,2.7,All Comedies
Dieter Nuhr: Nuhr in Berlin,4.7,All Comedies
Ave Maria,,All Comedies
Niyazi Gül Dörtnala,4.5,All Comedies
Husband Factor,6.2,All Comedies
Husband Factor: Resurrection,5.3,All Comedies
The Tour,,All Comedies
The Super Parental Guardians,4.4,All Comedies
Souk Bazaar,5.2,All Comedies
The Last Egg,4.8,All Comedies
Jandino: Whatever it Takes,4.5,All Comedies
Janoskians: Untold and Untrue,3.7,All Comedies
Sommore: The Reign Continues,7.0,All Comedies
Just the Way You Are,6.3,All Comedies
Dedemin Fişi,5.5,All Comedies
My Stupid Boss,7.1,All Comedies
The Third Party,6.1,All Comedies
Vice,7.2,All Comedies
Tully,7.0,All Comedies
The Babysitter,6.4,All Comedies
The Package,5.5,All Comedies
The Meyerowitz Stories (New and Selected),6.9,All Comedies
Step Sisters,5.4,All Comedies
To All the Boys I've Loved Before,7.1,All Comedies
Private Life,7.2,All Comedies
Dumplin',6.5,All Comedies
Duck Butter,5.2,All Comedies
"Game Over, Man!",5.4,All Comedies
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,All Comedies
Hampstead,6.0,All Comedies
Hannah Gadsby: Nanette,8.1,All Comedies
Bad Genius,7.6,All Comedies
The Kissing Booth,5.9,All Comedies
A Futile and Stupid Gesture,6.7,All Comedies
The After Party,5.7,All Comedies
Goon: Last of the Enforcers,5.8,All Comedies
A Bad Moms Christmas,5.6,All Comedies
The Week Of,5.2,All Comedies
The Breaker Upperers,5.9,All Comedies
The Long Dumb Road,6.1,All Comedies
Dude,5.2,All Comedies
Win It All,6.2,All Comedies
John Mulaney: Kid Gorgeous at Radio City,7.9,All Comedies
Ibiza,5.2,All Comedies
Cristela Alonzo: Lower Classy,6.4,All Comedies
Bathtubs Over Broadway,7.6,All Comedies
Adam Sandler: 100% Fresh,7.5,All Comedies
The Polka King,5.9,All Comedies
Show Dogs,3.8,All Comedies
Girlfriend's Day,5.2,All Comedies
Sandy Wexler,5.2,All Comedies
Alex Strangelove,6.3,All Comedies
Mr. Roosevelt,6.2,All Comedies
Ricky Gervais: Humanity,8.0,All Comedies
The Christmas Chronicles,7.0,All Comedies
The World Is Yours,6.3,All Comedies
Toc Toc,6.8,All Comedies
The Clapper,5.1,All Comedies
Fun Mom Dinner,5.3,All Comedies
MILF,4.8,All Comedies
Trevor Noah: Son of Patricia,7.3,All Comedies
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",7.4,All Comedies
John Leguizamo's Latin History for Morons,7.3,All Comedies
Jo Koy: Live from Seattle,7.2,All Comedies
"Oh, Hello on Broadway",7.7,All Comedies
The Outcasts,5.4,All Comedies
How to Be Really Bad,6.2,All Comedies
Father of the Year,5.2,All Comedies
Puss in Book: Trapped in an Epic Tale,,All Comedies
Demetri Martin: The Overthinker,7.2,All Comedies
Dry Martina,5.8,All Comedies
El Camino Christmas,5.7,All Comedies
The Legacy of a Whitetail Deer Hunter,5.5,All Comedies
My Masterpiece,7.1,All Comedies
Hasan Minhaj: Homecoming King,8.2,All Comedies
The Climb,6.9,All Comedies
Iliza Shlesinger: Elder Millennial,7.2,All Comedies
"Ron White: If You Quit Listening, I'll Shut Up",6.5,All Comedies
Craig Ferguson: Tickle Fight,6.6,All Comedies
Lommbock,6.7,All Comedies
Tig Notaro: Happy To Be Here,6.6,All Comedies
Holy Camp!,6.2,All Comedies
Pottersville,5.4,All Comedies
Seth Rogen's Hilarity for Charity,5.0,All Comedies
Charming,5.6,All Comedies
Budapest,5.4,All Comedies
Thi Mai,6.0,All Comedies
Holy Goalie,5.3,All Comedies
Killing Hasselhoff,4.4,All Comedies
Naked,5.4,All Comedies
Jim Jefferies: This Is Me Now,7.3,All Comedies
Si saben cómo me pongo ¿Pa' qué me invitan?,4.5,All Comedies
It's for Your Own Good,5.5,All Comedies
The Laws of Thermodynamics,6.0,All Comedies
Handsome: A Netflix Mystery Movie,5.2,All Comedies
Hometown Holiday,5.0,All Comedies
Something Huge,4.4,All Comedies
The Awakening of Motti Wolkenbruch,6.6,All Comedies
Bill Burr: Walk Your Way Out,7.2,All Comedies
Greg Davies: You Magnificent Beast,7.1,All Comedies
Catfight,5.9,All Comedies
Toilet: A Love Story,7.2,All Comedies
Ryan Hamilton: Happy Face,7.3,All Comedies
Bad Seeds,7.3,All Comedies
The Mansion,4.6,All Comedies
Yucatán,5.5,All Comedies
Mike Birbiglia: Thank God for Jokes,7.5,All Comedies
Sun Dogs,6.2,All Comedies
Bomb Scared,5.6,All Comedies
Chris Rock: Tamborine,6.6,All Comedies
Take Me,6.1,All Comedies
Patton Oswalt: Annihilation,7.2,All Comedies
Rory Scovel Tries Stand-Up for the First Time,6.7,All Comedies
Jagga Jasoos,6.3,All Comedies
Katt Williams: Great America,6.2,All Comedies
Qarib Qarib Singlle,7.1,All Comedies
Duck Duck Goose,5.7,All Comedies
Hari Kondabolu: Warn Your Relatives,6.5,All Comedies
The Tribe,5.8,All Comedies
Sudani from Nigeria,8.2,All Comedies
Candy Jar,5.8,All Comedies
Neal Brennan: 3 Mics,7.9,All Comedies
"To Each, Her Own",5.4,All Comedies
Jerry Before Seinfeld,7.0,All Comedies
Dany Boon: Des Hauts-De-France,6.2,All Comedies
Jack Whitehall: At Large,6.8,All Comedies
Trevor Noah: Afraid of the Dark,7.2,All Comedies
Spivak,5.6,All Comedies
"Love, Surreal and Odd",5.6,All Comedies
Jefe,5.4,All Comedies
Jim Gaffigan: Cinco,7.1,All Comedies
The Art of Loving: Story of Michalina Wislocka,7.1,All Comedies
Love per Square Foot,7.2,All Comedies
Ali Wong: Hard Knock Wife,7.3,All Comedies
Tom Segura: Disgraceful,7.5,All Comedies
Superlopez,5.4,All Comedies
Judd Apatow: The Return,6.2,All Comedies
Sarah Silverman: A Speck of Dust,6.9,All Comedies
Pa Paandi,7.4,All Comedies
Dismissal,5.0,All Comedies
Brian Regan: Nunchucks and Flamethrowers,6.3,All Comedies
#realityhigh,5.1,All Comedies
DeRay Davis: How to Act Black,6.1,All Comedies
Def Comedy Jam 25,6.6,All Comedies
The Suit,5.3,All Comedies
Amy Schumer: The Leather Special,3.1,All Comedies
