State,AgeGroup,Year,Value
CA,Under 5 Years,1990,2704659
CA,Under 5 Years,2000,2677612
CA,Under 5 Years,2010,2623519
CA,5 to 13 Years,1990,4499890
CA,5 to 13 Years,2000,5489866
CA,5 to 13 Years,2010,7469817
CA,14 to 17 Years,1990,2159981
CA,14 to 17 Years,2000,2635177
CA,14 to 17 Years,2010,3585568
CA,18 to 24 Years,1990,3853788
CA,18 to 24 Years,2000,4624546
CA,18 to 24 Years,2010,6166061
CA,25 to 44 Years,1990,10604510
CA,25 to 44 Years,2000,12513322
CA,25 to 44 Years,2010,16330945
CA,45 to 64 Years,1990,8819342
CA,45 to 64 Years,2000,7937408
CA,45 to 64 Years,2010,6173539
CA,65 Years and Over,1990,4114496
CA,65 Years and Over,2000,4443656
CA,65 Years and Over,2010,5101975
TX,Under 5 Years,1990,2027307
TX,Under 5 Years,2000,2290857
TX,Under 5 Years,2010,2817957
TX,5 to 13 Years,1990,3277946
TX,5 to 13 Years,2000,2884592
TX,5 to 13 Years,2010,2097885
TX,14 to 17 Years,1990,1420518
TX,14 to 17 Years,2000,1434723
TX,14 to 17 Years,2010,1463134
TX,18 to 24 Years,1990,2454721
TX,18 to 24 Years,2000,2111060
TX,18 to 24 Years,2010,1423738
TX,25 to 44 Years,1990,7017731
TX,25 to 44 Years,2000,6666844
TX,25 to 44 Years,2010,5965071
TX,45 to 64 Years,1990,5656528
TX,45 to 64 Years,2000,7070660
TX,45 to 64 Years,2010,9898924
TX,65 Years and Over,1990,2472223
TX,65 Years and Over,2000,2472223
TX,65 Years and Over,2010,2472223
NY,Under 5 Years,1990,1208495
NY,Under 5 Years,2000,1087646
NY,Under 5 Years,2010,845947
NY,5 to 13 Years,1990,2141490
NY,5 to 13 Years,2000,2655448
NY,5 to 13 Years,2010,3683363
NY,14 to 17 Years,1990,1058031
NY,14 to 17 Years,2000,1227316
NY,14 to 17 Years,2010,1565886
NY,18 to 24 Years,1990,1999120
NY,18 to 24 Years,2000,2159050
NY,18 to 24 Years,2010,2478909
NY,25 to 44 Years,1990,5355235
NY,25 to 44 Years,2000,5622997
NY,25 to 44 Years,2010,6158520
NY,45 to 64 Years,1990,5120254
NY,45 to 64 Years,2000,6349115
NY,45 to 64 Years,2010,8806837
NY,65 Years and Over,1990,2607672
NY,65 Years and Over,2000,2946669
NY,65 Years and Over,2010,3624664
FL,Under 5 Years,1990,1140516
FL,Under 5 Years,2000,1231757
FL,Under 5 Years,2010,1414240
FL,5 to 13 Years,1990,1938695
FL,5 to 13 Years,2000,2287660
FL,5 to 13 Years,2010,2985590
FL,14 to 17 Years,1990,925060
FL,14 to 17 Years,2000,1063819
FL,14 to 17 Years,2010,1341337
FL,18 to 24 Years,1990,1607297
FL,18 to 24 Years,2000,1446567
FL,18 to 24 Years,2010,1125108
FL,25 to 44 Years,1990,4782119
FL,25 to 44 Years,2000,5977649
FL,25 to 44 Years,2010,8368708
FL,45 to 64 Years,1990,4746856
FL,45 to 64 Years,2000,4556982
FL,45 to 64 Years,2010,4177233
FL,65 Years and Over,1990,3187797
FL,65 Years and Over,2000,3857234
FL,65 Years and Over,2010,5196109
IL,Under 5 Years,1990,894368
IL,Under 5 Years,2000,912255
IL,Under 5 Years,2010,948030
IL,5 to 13 Years,1990,1558919
IL,5 to 13 Years,2000,1808346
IL,5 to 13 Years,2010,2307200
IL,14 to 17 Years,1990,725973
IL,14 to 17 Years,2000,813090
IL,14 to 17 Years,2010,987323
IL,18 to 24 Years,1990,1311479
IL,18 to 24 Years,2000,1613119
IL,18 to 24 Years,2010,2216400
IL,25 to 44 Years,1990,3596343
IL,25 to 44 Years,2000,4351575
IL,25 to 44 Years,2010,5862039
IL,45 to 64 Years,1990,3239173
IL,45 to 64 Years,2000,2623730
IL,45 to 64 Years,2010,1392844
IL,65 Years and Over,1990,1575308
IL,65 Years and Over,2000,1811604
IL,65 Years and Over,2010,2284197
PA,Under 5 Years,1990,737462
PA,Under 5 Years,2000,781710
PA,Under 5 Years,2010,870205
PA,5 to 13 Years,1990,1345341
PA,5 to 13 Years,2000,1641316
PA,5 to 13 Years,2010,2233266
PA,14 to 17 Years,1990,679201
PA,14 to 17 Years,2000,624865
PA,14 to 17 Years,2010,516193
PA,18 to 24 Years,1990,1203944
PA,18 to 24 Years,2000,1396575
PA,18 to 24 Years,2010,1781837
PA,25 to 44 Years,1990,3157759
PA,25 to 44 Years,2000,3220914
PA,25 to 44 Years,2010,3347225
PA,45 to 64 Years,1990,3414001
PA,45 to 64 Years,2000,3755401
PA,45 to 64 Years,2010,4438201
PA,65 Years and Over,1990,1910571
PA,65 Years and Over,2000,1872360
PA,65 Years and Over,2010,1795937