"OBJECTID","DISCOVERY_DOY","FIRE_YEAR","FIRE_DATE","SEASON","STAT_CAUSE","STAT_CAUSE_DESCR","STATE","FIRE_SIZE"
1795357,109,2015,2015-04-19,"Spring","Miscellaneous","Miscellaneous","CA",0.2
1879209,238,2010,2010-08-26,"Summer","Debris Burning","Debris Burning","CA",0.11
1106035,203,1992,1992-07-21,"Summer","Equipment Use","Equipment Use","CA",20
1094478,230,1998,1998-08-18,"Summer","Equipment Use","Equipment Use","CA",0.1
1119362,325,1993,1993-11-21,"Fall","Debris Burning","Debris Burning","CA",0.1
1138139,191,1993,1993-07-10,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
1095166,264,1992,1992-09-20,"Summer","Equipment Use","Equipment Use","CA",0.3
1103956,127,2006,2006-05-07,"Spring","Miscellaneous","Miscellaneous","CA",0.1
319461,206,2003,2003-07-25,"Summer","Lightning","Lightning","CA",10
1779914,211,2014,2014-07-30,"Summer","Miscellaneous","Miscellaneous","CA",0.23
1457054,254,2011,2011-09-11,"Summer","Lightning","Lightning","CA",0.1
1625820,29,2012,2012-01-29,"Winter","Missing/Undefined","Missing/Undefined","CA",1
1134408,23,2006,2006-01-23,"Winter","Equipment Use","Equipment Use","CA",0.1
105496,187,1998,1998-07-06,"Summer","Lightning","Lightning","CA",0.1
309119,9,2000,2000-01-09,"Winter","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
137130,163,2001,2001-06-12,"Spring","Debris Burning","Debris Burning","CA",0.1
314921,155,2002,2002-06-04,"Spring","Equipment Use","Equipment Use","CA",1
1143362,266,2005,2005-09-23,"Fall","Equipment Use","Equipment Use","CA",0.4
1872095,332,2015,2015-11-28,"Fall","Debris Burning","Debris Burning","CA",0.25
1083505,177,2001,2001-06-26,"Summer","Equipment Use","Equipment Use","CA",0.1
1136165,107,2009,2009-04-17,"Spring","Miscellaneous","Miscellaneous","CA",1
1062196,183,2003,2003-07-02,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1793074,157,2015,2015-06-06,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1656730,234,2013,2013-08-22,"Summer","Miscellaneous","Miscellaneous","CA",2.5
1067787,331,1992,1992-11-26,"Fall","Miscellaneous","Miscellaneous","CA",0.1
1094809,205,2000,2000-07-23,"Summer","Miscellaneous","Miscellaneous","CA",4
1792907,194,2015,2015-07-13,"Summer","Miscellaneous","Miscellaneous","CA",1
47518,178,1992,1992-06-26,"Summer","Lightning","Lightning","CA",0.7
1870077,196,2015,2015-07-15,"Summer","Miscellaneous","Miscellaneous","CA",0.1
92519,163,1996,1996-06-11,"Spring","Equipment Use","Equipment Use","CA",0.2
1086128,105,1997,1997-04-15,"Spring","Debris Burning","Debris Burning","CA",0.1
1139764,225,1995,1995-08-13,"Summer","Equipment Use","Equipment Use","CA",1
1136460,353,2009,2009-12-19,"Fall","Equipment Use","Equipment Use","CA",1
1084382,191,2007,2007-07-10,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1512886,159,2011,2011-06-08,"Spring","Arson","Arson","CA",0.2
1091801,162,2008,2008-06-10,"Spring","Equipment Use","Equipment Use","CA",0.1
1626695,168,2012,2012-06-16,"Spring","Miscellaneous","Miscellaneous","CA",1.5
154949,213,2003,2003-08-01,"Summer","Lightning","Lightning","CA",0.1
244111,168,1996,1996-06-16,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
244024,202,1994,1994-07-21,"Summer","Lightning","Lightning","CA",0.3
133426,174,2000,2000-06-22,"Summer","Lightning","Lightning","CA",0.1
69208,275,1994,1994-10-02,"Fall","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1876887,268,2010,2010-09-25,"Fall","Missing/Undefined","Missing/Undefined","CA",1
1094564,280,1998,1998-10-07,"Fall","Debris Burning","Debris Burning","CA",2
121351,270,1999,1999-09-27,"Fall","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1114920,223,1992,1992-08-10,"Summer","Arson","Arson","CA",4
151299,193,2002,2002-07-12,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1567448,28,2012,2012-01-28,"Winter","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1127728,133,1996,1996-05-12,"Spring","Equipment Use","Equipment Use","CA",0.5
1084287,134,2007,2007-05-14,"Spring","Equipment Use","Equipment Use","CA",1
1069461,235,2003,2003-08-23,"Summer","Equipment Use","Equipment Use","CA",1
191888,189,1996,1996-07-07,"Summer","Campfire/Children/Smoking/Fireworks","Fireworks","CA",0.1
1133812,165,2004,2004-06-13,"Spring","Miscellaneous","Miscellaneous","CA",0.1
365887,180,2002,2002-06-29,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1627320,197,2012,2012-07-15,"Summer","Missing/Undefined","Missing/Undefined","CA",0.25
310705,304,2002,2002-10-31,"Fall","Equipment Use","Equipment Use","CA",0.1
1787582,174,2014,2014-06-23,"Summer","Missing/Undefined","Missing/Undefined","CA",0.06
1090623,247,1997,1997-09-04,"Summer","Lightning","Lightning","CA",2
14596,206,2006,2006-07-25,"Summer","Lightning","Lightning","CA",12
1604859,292,2012,2012-10-18,"Fall","Debris Burning","Debris Burning","CA",0.1
1142149,350,1998,1998-12-16,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",2
48883,230,1992,1992-08-17,"Summer","Lightning","Lightning","CA",0.1
19202,168,2007,2007-06-17,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1127868,292,1996,1996-10-18,"Fall","Miscellaneous","Miscellaneous","CA",0.5
1088320,244,2006,2006-09-01,"Summer","Arson","Arson","CA",1
1773164,228,2014,2014-08-16,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
1135941,301,2008,2008-10-27,"Fall","Miscellaneous","Miscellaneous","CA",4
192240,206,1996,1996-07-24,"Summer","Arson","Arson","CA",0.3
1079000,134,1992,1992-05-13,"Spring","Arson","Arson","CA",0.1
1094552,265,1998,1998-09-22,"Summer","Equipment Use","Equipment Use","CA",0.1
1094250,282,1996,1996-10-08,"Fall","Miscellaneous","Miscellaneous","CA",2
1129692,203,1992,1992-07-21,"Summer","Miscellaneous","Miscellaneous","CA",5
75202,170,1994,1994-06-19,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.2
47190,169,1992,1992-06-17,"Spring","Lightning","Lightning","CA",0.1
1124565,299,1995,1995-10-26,"Fall","Equipment Use","Equipment Use","CA",2
364827,87,2001,2001-03-28,"Spring","Debris Burning","Debris Burning","CA",50
1080272,242,1993,1993-08-30,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",1
1133192,160,2002,2002-06-09,"Spring","Campfire/Children/Smoking/Fireworks","Children","CA",1
1076746,117,2007,2007-04-27,"Spring","Equipment Use","Equipment Use","CA",2
214684,251,1998,1998-09-08,"Summer","Equipment Use","Equipment Use","CA",0.1
1749830,31,2014,2014-01-31,"Winter","Debris Burning","Debris Burning","CA",0.5
36714,206,2009,2009-07-25,"Summer","Arson","Arson","CA",0.01
1100999,232,2005,2005-08-20,"Summer","Arson","Arson","CA",0.7
1078716,181,2010,2010-06-30,"Summer","Equipment Use","Equipment Use","CA",2
214562,227,1998,1998-08-15,"Summer","Equipment Use","Equipment Use","CA",1
1123505,201,2005,2005-07-20,"Summer","Debris Burning","Debris Burning","CA",4
192066,158,1994,1994-06-07,"Spring","Debris Burning","Debris Burning","CA",0.3
1511040,231,2011,2011-08-19,"Summer","Debris Burning","Debris Burning","CA",0.1
213506,233,1997,1997-08-21,"Summer","Miscellaneous","Miscellaneous","CA",2
1509688,246,2011,2011-09-03,"Summer","Missing/Undefined","Missing/Undefined","CA",0.02
1139758,224,1995,1995-08-12,"Summer","Equipment Use","Equipment Use","CA",1
57493,279,1993,1993-10-06,"Fall","Arson","Arson","CA",0.1
1509124,180,2011,2011-06-29,"Summer","Missing/Undefined","Missing/Undefined","CA",0.11
1141068,132,1997,1997-05-12,"Spring","Equipment Use","Equipment Use","CA",0.1
313954,180,2009,2009-06-29,"Summer","Equipment Use","Equipment Use","CA",716
1644239,250,2013,2013-09-07,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1092643,220,2000,2000-08-07,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
217822,294,1999,1999-10-21,"Fall","Equipment Use","Equipment Use","CA",0.1
1871794,314,2015,2015-11-10,"Fall","Lightning","Lightning","CA",0.25
1095030,131,2001,2001-05-11,"Spring","Equipment Use","Equipment Use","CA",10
47997,197,1992,1992-07-15,"Summer","Lightning","Lightning","CA",6
1067816,184,1993,1993-07-03,"Summer","Equipment Use","Equipment Use","CA",0.1
3585,244,2005,2005-09-01,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1069546,188,2004,2004-07-06,"Summer","Miscellaneous","Miscellaneous","CA",0.1
8612,166,2006,2006-06-15,"Spring","Equipment Use","Equipment Use","CA",2
95547,207,1996,1996-07-25,"Summer","Miscellaneous","Miscellaneous","CA",7
312417,283,2005,2005-10-10,"Fall","Powerline/Railroad/Structure","Powerline","CA",1
1088325,257,2006,2006-09-14,"Summer","Arson","Arson","CA",10
1069919,181,2006,2006-06-30,"Summer","Equipment Use","Equipment Use","CA",50
1509053,290,2011,2011-10-17,"Fall","Missing/Undefined","Missing/Undefined","CA",0.1
1118527,143,1996,1996-05-22,"Spring","Miscellaneous","Miscellaneous","CA",0.5
108517,226,1998,1998-08-14,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1481316,249,2011,2011-09-06,"Summer","Missing/Undefined","Missing/Undefined","CA",0.1
243544,163,1996,1996-06-11,"Spring","Equipment Use","Equipment Use","CA",1
1107242,226,2003,2003-08-14,"Summer","Equipment Use","Equipment Use","CA",0.2
1138476,280,1993,1993-10-07,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",0.3
143345,148,2001,2001-05-28,"Spring","Miscellaneous","Miscellaneous","CA",1
1063462,245,2008,2008-09-01,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
166265,183,2004,2004-07-01,"Summer","Lightning","Lightning","CA",0.1
1115687,279,1992,1992-10-05,"Fall","Arson","Arson","CA",0.1
1080023,161,1993,1993-06-10,"Spring","Arson","Arson","CA",2.5
1094376,223,1997,1997-08-11,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1081212,205,1995,1995-07-24,"Summer","Equipment Use","Equipment Use","CA",0.4
1122705,222,1995,1995-08-10,"Summer","Powerline/Railroad/Structure","Railroad","CA",0.1
1112134,207,1996,1996-07-25,"Summer","Miscellaneous","Miscellaneous","CA",5
1139566,189,1995,1995-07-08,"Summer","Equipment Use","Equipment Use","CA",0.3
1118188,331,2008,2008-11-26,"Fall","Debris Burning","Debris Burning","CA",1
1089970,259,1995,1995-09-16,"Summer","Debris Burning","Debris Burning","CA",2
216028,305,1993,1993-11-01,"Fall","Equipment Use","Equipment Use","CA",0.1
1513781,219,2011,2011-08-07,"Summer","Missing/Undefined","Missing/Undefined","CA",5
1066802,263,2003,2003-09-20,"Summer","Equipment Use","Equipment Use","CA",7
1638584,230,2013,2013-08-18,"Summer","Lightning","Lightning","CA",0.4
130069,95,2000,2000-04-04,"Spring","Debris Burning","Debris Burning","CA",0.3
1141472,287,1997,1997-10-14,"Fall","Equipment Use","Equipment Use","CA",1
1180558,247,2010,2010-09-04,"Summer","Miscellaneous","Miscellaneous","CA",1
1128358,178,2000,2000-06-26,"Summer","Equipment Use","Equipment Use","CA",0.4
1103949,126,2006,2006-05-06,"Spring","Debris Burning","Debris Burning","CA",0.1
1494966,129,2011,2011-05-09,"Spring","Debris Burning","Debris Burning","CA",0.25
1071710,126,1993,1993-05-06,"Spring","Miscellaneous","Miscellaneous","CA",0.1
191369,186,1997,1997-07-05,"Summer","Arson","Arson","CA",0.2
1722991,201,2014,2014-07-20,"Summer","Lightning","Lightning","CA",0.1
132201,94,2000,2000-04-03,"Spring","Equipment Use","Equipment Use","CA",0.1
1113886,2,2008,2008-01-02,"Winter","Debris Burning","Debris Burning","CA",0.5
1135034,61,2007,2007-03-02,"Winter","Equipment Use","Equipment Use","CA",0.1
1215973,283,2010,2010-10-10,"Fall","Debris Burning","Debris Burning","CA",63
1853789,105,2015,2015-04-15,"Spring","Missing/Undefined","Missing/Undefined","CA",1
1111291,256,1993,1993-09-13,"Summer","Miscellaneous","Miscellaneous","CA",5
1643907,122,2013,2013-05-02,"Spring","Missing/Undefined","Missing/Undefined","CA",3
1096009,216,1995,1995-08-04,"Summer","Equipment Use","Equipment Use","CA",0.1
1143535,15,2007,2007-01-15,"Winter","Debris Burning","Debris Burning","CA",40
1100972,194,2005,2005-07-13,"Summer","Equipment Use","Equipment Use","CA",1
1078351,224,2009,2009-08-12,"Summer","Miscellaneous","Miscellaneous","CA",20
190854,248,1993,1993-09-05,"Summer","Miscellaneous","Miscellaneous","CA",1.5
1102594,170,1994,1994-06-19,"Spring","Miscellaneous","Miscellaneous","CA",12
166208,179,2004,2004-06-27,"Summer","Lightning","Lightning","CA",0.1
48471,318,1992,1992-11-13,"Fall","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1129315,189,2007,2007-07-08,"Summer","Equipment Use","Equipment Use","CA",0.3
319861,179,2004,2004-06-27,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
24496,184,2007,2007-07-03,"Summer","Miscellaneous","Miscellaneous","CA",0.25
1074077,238,2000,2000-08-25,"Summer","Equipment Use","Equipment Use","CA",0.2
1614921,246,2012,2012-09-02,"Summer","Miscellaneous","Miscellaneous","CA",0.1
320387,267,2005,2005-09-24,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",0.2
1073772,92,2000,2000-04-01,"Spring","Arson","Arson","CA",0.5
1133820,178,2004,2004-06-26,"Summer","Arson","Arson","CA",0.3
1654064,184,2013,2013-07-03,"Summer","Missing/Undefined","Missing/Undefined","CA",0.2
8441,184,2006,2006-07-03,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
217103,187,1998,1998-07-06,"Summer","Equipment Use","Equipment Use","CA",0.1
1090051,120,1996,1996-04-29,"Spring","Arson","Arson","CA",0.2
1071569,187,1992,1992-07-05,"Summer","Equipment Use","Equipment Use","CA",0.5
171,162,2005,2005-06-11,"Spring","Debris Burning","Debris Burning","CA",2
1132586,294,2000,2000-10-20,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",1
1103722,233,2005,2005-08-21,"Summer","Equipment Use","Equipment Use","CA",144
1627406,295,2012,2012-10-21,"Fall","Missing/Undefined","Missing/Undefined","CA",0.5
1111592,169,2010,2010-06-18,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",1
1144710,147,1997,1997-05-27,"Spring","Equipment Use","Equipment Use","CA",15
1101319,105,2007,2007-04-15,"Spring","Miscellaneous","Miscellaneous","CA",0.2
1083948,242,2004,2004-08-29,"Summer","Equipment Use","Equipment Use","CA",1
1877933,262,2014,2014-09-19,"Summer","Debris Burning","Debris Burning","CA",0.01
1080839,205,1994,1994-07-24,"Summer","Miscellaneous","Miscellaneous","CA",1
1068207,120,1996,1996-04-29,"Spring","Equipment Use","Equipment Use","CA",0.1
1103773,237,2006,2006-08-25,"Summer","Arson","Arson","CA",2
1092215,194,1994,1994-07-13,"Summer","Equipment Use","Equipment Use","CA",0.1
1109309,257,1995,1995-09-14,"Summer","Debris Burning","Debris Burning","CA",20
1136196,144,2009,2009-05-24,"Spring","Equipment Use","Equipment Use","CA",0.5
1142946,161,2002,2002-06-10,"Spring","Equipment Use","Equipment Use","CA",20
1626340,246,2012,2012-09-02,"Summer","Missing/Undefined","Missing/Undefined","CA",0.1
367951,260,2004,2004-09-16,"Summer","Miscellaneous","Miscellaneous","CA",1
10770,204,2006,2006-07-23,"Summer","Miscellaneous","Miscellaneous","CA",0.5
1655272,231,2013,2013-08-19,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",22
1118334,128,2007,2007-05-08,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1652599,118,2013,2013-04-28,"Spring","Debris Burning","Debris Burning","CA",0.1
356558,190,2008,2008-07-08,"Summer","Lightning","Lightning","CA",0.5
1113134,236,1994,1994-08-24,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
163068,232,2003,2003-08-20,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.5
313135,23,2007,2007-01-23,"Winter","Miscellaneous","Miscellaneous","CA",0.1
1126966,308,1992,1992-11-03,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
152411,273,2002,2002-09-30,"Fall","Miscellaneous","Miscellaneous","CA",0.2
1105099,310,1996,1996-11-05,"Fall","Debris Burning","Debris Burning","CA",0.5
1107359,230,1994,1994-08-18,"Summer","Equipment Use","Equipment Use","CA",0.1
1116595,215,1994,1994-08-03,"Summer","Equipment Use","Equipment Use","CA",0.1
316273,16,2006,2006-01-16,"Winter","Campfire/Children/Smoking/Fireworks","Children","CA",0.2
1110983,188,2002,2002-07-07,"Summer","Miscellaneous","Miscellaneous","CA",0.3
1513824,246,2011,2011-09-03,"Summer","Missing/Undefined","Missing/Undefined","CA",1
56870,276,1993,1993-10-03,"Fall","Equipment Use","Equipment Use","CA",0.1
49033,277,1992,1992-10-03,"Fall","Lightning","Lightning","CA",0.3
115428,151,1999,1999-05-31,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",1
5647,339,2005,2005-12-05,"Fall","Lightning","Lightning","CA",0.1
1125528,286,1995,1995-10-13,"Fall","Equipment Use","Equipment Use","CA",1
1873842,163,2009,2009-06-12,"Spring","Miscellaneous","Miscellaneous","CA",23
215815,282,1992,1992-10-08,"Fall","Equipment Use","Equipment Use","CA",265
1181121,264,2010,2010-09-21,"Summer","Arson","Arson","CA",0.1
1070839,284,2008,2008-10-10,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",100
213899,236,1994,1994-08-24,"Summer","Arson","Arson","CA",300
1093123,263,2003,2003-09-20,"Summer","Miscellaneous","Miscellaneous","CA",1
1070838,260,2008,2008-09-16,"Summer","Miscellaneous","Miscellaneous","CA",1
1874661,260,2012,2012-09-16,"Summer","Missing/Undefined","Missing/Undefined","CA",0.1
1511106,199,2011,2011-07-18,"Summer","Equipment Use","Equipment Use","CA",0.01
39417,257,2009,2009-09-14,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1116430,260,1992,1992-09-16,"Summer","Equipment Use","Equipment Use","CA",2
369067,210,2005,2005-07-29,"Summer","Miscellaneous","Miscellaneous","CA",0.1
155681,217,2003,2003-08-05,"Summer","Lightning","Lightning","CA",0.1
117177,65,1999,1999-03-06,"Winter","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1065135,298,2003,2003-10-25,"Fall","Missing/Undefined","Missing/Undefined","CA",0.5
1074737,196,2002,2002-07-15,"Summer","Miscellaneous","Miscellaneous","CA",0.4
1114853,118,2004,2004-04-27,"Spring","Debris Burning","Debris Burning","CA",0.2
1797802,214,2015,2015-08-02,"Summer","Lightning","Lightning","CA",43
316373,136,2006,2006-05-16,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1872487,87,2010,2010-03-28,"Spring","Debris Burning","Debris Burning","CA",0.5
1788023,212,2014,2014-07-31,"Summer","Missing/Undefined","Missing/Undefined","CA",0.5
1087042,130,2002,2002-05-10,"Spring","Equipment Use","Equipment Use","CA",60
320522,175,2006,2006-06-24,"Summer","Lightning","Lightning","CA",90
1479845,178,2011,2011-06-27,"Summer","Debris Burning","Debris Burning","CA",1
1121172,293,1996,1996-10-19,"Fall","Equipment Use","Equipment Use","CA",0.1
190818,214,1993,1993-08-02,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1871314,238,2015,2015-08-26,"Summer","Arson","Arson","CA",1
1213888,206,2010,2010-07-25,"Summer","Debris Burning","Debris Burning","CA",0.1
1876731,134,2010,2010-05-14,"Spring","Equipment Use","Equipment Use","CA",2
1138011,176,1993,1993-06-25,"Summer","Equipment Use","Equipment Use","CA",0.5
1181497,282,2010,2010-10-09,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",2
1066513,221,2006,2006-08-09,"Summer","Equipment Use","Equipment Use","CA",0.1
355326,217,2002,2002-08-05,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1138146,194,1993,1993-07-13,"Summer","Miscellaneous","Miscellaneous","CA",0.3
1139946,281,1995,1995-10-08,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
